,Title,Production_Budget,Domestic_Gross,Worldwide_Gross,Profit,Original_Language,Popularity,TMDB_Rating,Vote_Count,Quarter_Num,Year,IMDB_Rating,Runtime,Genre
1130,Survivor,20000000.0,0.0,1703281.0,-18296719.0,en,21.021,5.5,581,2,2015,5.6,96.0,Acti
1129,Survivor,20000000.0,0.0,1703281.0,-18296719.0,en,3.412,4.8,55,3,2012,5.6,96.0,Acti
1123,All Good Things,20000000.0,582024.0,873617.0,-19126383.0,en,7.871,6.0,493,4,2010,6.3,101.0,Crim
687,A Thousand Words,40000000.0,18450127.0,20790486.0,-19209514.0,en,8.017000000000001,6.1,685,1,2012,5.9,91.0,Come
765,Bait,35000000.0,15325127.0,15471969.0,-19528031.0,en,7.117000000000001,5.5,358,3,2012,5.2,93.0,Acti
996,Ironclad,25000000.0,0.0,5297411.0,-19702589.0,en,10.202,6.1,373,3,2011,6.2,121.0,Acti
1125,The Tempest,20000000.0,277943.0,277943.0,-19722057.0,en,6.3,5.8,52,4,2010,5.4,110.0,Come
1132,Bird Box,19800000.0,0.0,0.0,-19800000.0,en,26.156,7.0,4777,4,2018,6.6,124.0,Dram
927,The Fifth Estate,26000000.0,3254172.0,6154172.0,-19845828.0,en,6.611000000000001,5.9,549,4,2013,6.2,128.0,Biog
875,Kin,30000000.0,5718096.0,10096821.0,-19903179.0,en,23.805,6.2,289,3,2018,5.7,102.0,Acti
415,The Finest Hours,70000000.0,27569558.0,49252761.0,-20747239.0,en,12.673,6.4,943,1,2016,6.8,117.0,Acti
872,Barney's Version,30000000.0,7502560.0,8845575.0,-21154425.0,en,7.357,7.2,210,1,2011,7.3,134.0,Come
873,Barney's Version,30000000.0,7502560.0,8845575.0,-21154425.0,en,7.357,7.2,210,1,2011,7.3,134.0,Come
877,Stronger,30000000.0,4211129.0,8786752.0,-21213248.0,en,7.836,7.0,782,3,2017,7.0,119.0,Biog
993,Jane Got a Gun,25000000.0,1513793.0,3771345.0,-21228655.0,en,8.825,5.5,439,1,2016,5.9,98.0,Acti
688,The Gunman,40000000.0,10664749.0,18594227.0,-21405773.0,en,10.388,5.7,583,1,2015,5.8,115.0,Acti
